"Well","Drug","Concentration","Unit","PlateID"
"J24","Quinacrine",0.625,"mM","M006"
"K1","Selpercatinib (LOXO-292)",10,"mM","M006"
"K2","Selpercatinib (LOXO-292)",5,"mM","M006"
"K3","Selpercatinib (LOXO-292)",2.5,"mM","M006"
"K4","Selpercatinib (LOXO-292)",1.25,"mM","M006"
"K5","Selpercatinib (LOXO-292)",0.625,"mM","M006"
"K6","Simvastatin (MK 733)",10,"mM","M006"
"K7","Simvastatin (MK 733)",5,"mM","M006"
"K8","Simvastatin (MK 733)",2.5,"mM","M006"
"K9","Simvastatin (MK 733)",1.25,"mM","M006"
"K10","Simvastatin (MK 733)",0.625,"mM","M006"
"K11","Tamoxifen (ICI 46474)",10,"mM","M006"
"K12","Tamoxifen (ICI 46474)",5,"mM","M006"
"K13","Tamoxifen (ICI 46474)",2.5,"mM","M006"
"K14","Tamoxifen (ICI 46474)",1.25,"mM","M006"
"K15","Tamoxifen (ICI 46474)",0.625,"mM","M006"
"K16","Vismodegib (GDC-0449)",10,"mM","M006"
"K17","Vismodegib (GDC-0449)",5,"mM","M006"
"K18","Vismodegib (GDC-0449)",2.5,"mM","M006"
"K19","Vismodegib (GDC-0449)",1.25,"mM","M006"
"K20","Vismodegib (GDC-0449)",0.625,"mM","M006"
"K21","Volasertib (BI 6727)",10,"mM","M006"
"K22","Volasertib (BI 6727)",1,"mM","M006"
"K23","Volasertib (BI 6727)",0.1,"mM","M006"
"K24","Volasertib (BI 6727)",0.01,"mM","M006"
"L1","Volasertib (BI 6727)",0.001,"mM","M006"
"L2","Carboplatin (NSC 241240)",10,"mM","M006"
"L3","Carboplatin (NSC 241240)",5,"mM","M006"
"L4","Carboplatin (NSC 241240)",2.5,"mM","M006"
"L5","Carboplatin (NSC 241240)",1.25,"mM","M006"
"L6","Carboplatin (NSC 241240)",0.625,"mM","M006"
"L7","TNKS1/2 inhibitor (OM-153)",10,"mM","M006"
"L8","TNKS1/2 inhibitor (OM-153)",5,"mM","M006"
"L9","TNKS1/2 inhibitor (OM-153)",2.5,"mM","M006"
"L10","TNKS1/2 inhibitor (OM-153)",1.25,"mM","M006"
"L11","TNKS1/2 inhibitor (OM-153)",0.625,"mM","M006"
"L12","Mebendalzole",4.5,"mM","M006"
"L13","Mebendalzole",0.9,"mM","M006"
"L14","Mebendalzole",0.18,"mM","M006"
"L15","Mebendalzole",0.036,"mM","M006"
"L16","Mebendalzole",0.0072,"mM","M006"
"L17","Pertuzumab (anti-HER2)",10,"mM","M006"
"L18","Pertuzumab (anti-HER2)",5,"mM","M006"
"L19","Pertuzumab (anti-HER2)",2.5,"mM","M006"
"L20","Pertuzumab (anti-HER2)",1.25,"mM","M006"
"L21","Pertuzumab (anti-HER2)",0.625,"mM","M006"
