Sample;Drug;Status;Model;ED10;ED50;ED90;minED10;maxED90;avgED10;avgED90;medED10;medED90;Unit
OVCAR-8 R1;Panobinostat (LBH589);responder;LL.4;29,2735202484355;121,735468093532;506,243323870261;29,2735202484355;1047,46858702081;32,021365296895;839,78788004602;29,9528212659651;965,651729246985;nM
OVCAR-8 R2;Panobinostat (LBH589);responder;LL.4;36,8377543762846;188,606577867886;965,651729246985;29,2735202484355;1047,46858702081;32,021365296895;839,78788004602;29,9528212659651;965,651729246985;nM
OVCAR-8 R3;Panobinostat (LBH589);responder;LL.4;29,9528212659651;177,12887785098;1047,46858702081;29,2735202484355;1047,46858702081;32,021365296895;839,78788004602;29,9528212659651;965,651729246985;nM
OVCAR-8 R1;Pertuzumab (anti-HER2);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Pertuzumab (anti-HER2);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Pertuzumab (anti-HER2);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;Pictilisib (GDC-0941);responder;LL.4;113,723178777301;1118,3930117386;10998,6630883325;113,723178777301;103137,741408525;234,790831893674;45852,3813621928;218,267255738866;23420,739589721;nM
OVCAR-8 R2;Pictilisib (GDC-0941);responder;LL.4;218,267255738866;2260,96894220664;23420,739589721;113,723178777301;103137,741408525;234,790831893674;45852,3813621928;218,267255738866;23420,739589721;nM
OVCAR-8 R3;Pictilisib (GDC-0941);responder;LL.4;372,382061164857;6197,30947505403;103137,741408525;113,723178777301;103137,741408525;234,790831893674;45852,3813621928;218,267255738866;23420,739589721;nM
OVCAR-8 R1;Quinacrine;responder;LL.4;5703,54290947179;11090,8743364452;21566,8568640981;5703,54290947179;70221,2584065944;10136,5066177549;46456,3704801917;12327,9573053905;47580,9961698825;nM
OVCAR-8 R2;Quinacrine;responder;LL.4;12327,9573053905;29422,5198711343;70221,2584065944;5703,54290947179;70221,2584065944;10136,5066177549;46456,3704801917;12327,9573053905;47580,9961698825;nM
OVCAR-8 R3;Quinacrine;responder;LL.4;12378,0196384024;24268,4672982361;47580,9961698825;5703,54290947179;70221,2584065944;10136,5066177549;46456,3704801917;12327,9573053905;47580,9961698825;nM
OVCAR-8 R1;Ruxolitinib (INCB018424);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Ruxolitinib (INCB018424);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Ruxolitinib (INCB018424);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;Selpercatinib (LOXO-292);responder;LL.4;5361,84513756006;9835,02669422461;18040,0118978683;5361,84513756006;73071,5509087453;8837,85027570969;34454,3823160032;9455,56592332446;18040,0118978683;nM
OVCAR-8 R2;Selpercatinib (LOXO-292);responder;LL.4;9455,56592332446;10763,1622450898;12251,584141396;5361,84513756006;73071,5509087453;8837,85027570969;34454,3823160032;9455,56592332446;18040,0118978683;nM
OVCAR-8 R3;Selpercatinib (LOXO-292);responder;LL.4;11696,1397662445;29234,4843013339;73071,5509087453;5361,84513756006;73071,5509087453;8837,85027570969;34454,3823160032;9455,56592332446;18040,0118978683;nM
OVCAR-8 R1;Selumetinib (AZD6244);responder;LL.4;751,988265042377;2917,71743763679;11320,7551788192;751,988265042377;17357,6559171059;2275,92429229679;14151,8079204083;2667,21808456887;13777,0126652999;nM
OVCAR-8 R2;Selumetinib (AZD6244);responder;LL.4;3408,56652727913;7691,86095500143;17357,6559171059;751,988265042377;17357,6559171059;2275,92429229679;14151,8079204083;2667,21808456887;13777,0126652999;nM
OVCAR-8 R3;Selumetinib (AZD6244);responder;LL.4;2667,21808456887;6061,87242790725;13777,0126652999;751,988265042377;17357,6559171059;2275,92429229679;14151,8079204083;2667,21808456887;13777,0126652999;nM
OVCAR-8 R1;Simvastatin (MK 733);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Simvastatin (MK 733);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Simvastatin (MK 733);failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
