Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A1;1;A;1944;Vismodegib (GDC-0449);879085-55-9;5000;nM;5;M006;K17;E9;2479760
OVCAR-8 R1;PID3-0726A1;1;A;1447;Adavosertib (MK-1775);955365-80-7;98.76543;nM;5;M006;H7;E10;1313360
OVCAR-8 R1;PID3-0726A1;1;A;1447;Niraparib (MK-4827);1038915-60-4;10000;nM;5;M006;D24;E10;1313360
OVCAR-8 R1;PID3-0726A1;1;A;2158;TNKS1/2 inhibitor (OM-153);2406278-81-5;625;nM;5;M006;L11;E11;1722120
OVCAR-8 R1;PID3-0726A1;1;A;2158;Niraparib (MK-4827);1038915-60-4;625;nM;5;M006;E4;E11;1722120
OVCAR-8 R1;PID3-0726A1;1;A;3249;AZD8055;1009298-09-2;2.915452;nM;5;M006;I3;E12;1192920
OVCAR-8 R1;PID3-0726A1;1;A;3249;Paclitaxel (NSC 125973);33069-62-4;4000;nM;5;M006;E10;E12;1192920
OVCAR-8 R1;PID3-0726A1;1;A;2062;Niraparib (MK-4827);1038915-60-4;10000;nM;5;M006;D24;E13;1569520
OVCAR-8 R1;PID3-0726A1;1;A;2062;Defactinib (VS-6063, PF-04554878);1073154-85-4;10000;nM;5;M006;B12;E13;1569520
OVCAR-8 R1;PID3-0726A1;1;A;3474;H2O;7732-18-5;100;%;5;C008;C14;E14;2035760
OVCAR-8 R1;PID3-0726A1;1;A;3474;Carboplatin (NSC 241240);41575-94-4;5000;nM;5;M006;L3;E14;2035760
OVCAR-8 R1;PID3-0726A1;1;A;3433;DMSO;67-68-5;0.2;%;5;C008;A13;E15;1257280
OVCAR-8 R1;PID3-0726A1;1;A;3433;Dasatinib (BMS-354825);302962-49-8;100;nM;5;M006;B9;E15;1257280
OVCAR-8 R1;PID3-0726A1;1;A;2157;Volasertib (BI 6727);755038-65-4;10000;nM;5;M006;K21;E16;492960
